title,artist,estimated_year,spotify_track_id,isrc
I Could Never Love Another (After Loving You),The Temptations,1968,3IVgZoEiWpv2FKgWpmdPeL,USMO16800257
It's My Party,Lesley Gore,1963,1Pq47iFLC5U7j8xeNiNcuS,USPR36205231
(It Goes Like) Nanana - Edit,Peggy Gou,2023,23RoR84KodL5HWvUTneQ1w,GBBKS2300080
TEXAS HOLD 'EM,Beyoncé,2024,0Z7nGFVCLfixWctgePsRk9,USSM12401302
Faded,Alan Walker,2018,698ItKASDavgwZ3WjaWjtz,NOG841549010
Banana - feat. Shaggy,"Conkarah, Shaggy",2019,0GUhPeExe5pXiGcBk03WSm,QMRSZ1901446
Seven Nation Army,The White Stripes,2003,3dPQuX8Gs42Y7b454ybpMR,USVT10300001
Accidentally In Love,Counting Crows,2004,4ccM2xBxicGigjLqt6A0YY,USIR10400291
Ma quale idea,Pino D'Angiò,2016,0nHdPB5NA4xkoDoSLbREwD,ITA647900295
Call Me,Blondie,1999,4qO03RMQm88DdpTJcxlglY,USCH38900008
Dancing Feet (feat. DNCE),"Kygo, DNCE",2022,4RAR8g8fZNB106ezUurnE0,USRC12200139
Spinning Around,Kylie Minogue,2000,3eXI3pYpiY1nRwhvW0c8Qi,GBAYE0000351
Don't Talk Just Kiss,Right Said Fred,2010,1AdjxUGO34wAU2AflAsq5n,GBCKK0966702
The Boys Are Back In Town,Thin Lizzy,1976,43DeSV93pJPT4lCZaWZ6b1,GBF087600063
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153
Lovely Day,Bill Withers,1977,0bRXwKfigvpKZUurwqAlEh,USSM10207844
This Ole House,Shakin' Stevens,1981,1Fovcw2l65GDnf3utzqdGC,GBARL0801563
I'm Gonna Be (500 Miles),The Proclaimers,1988,67iAlVNDDdddxqSD2EZhFs,GBAYK8800055
Set Me Free,Jaki Graham,1986,5VFB5iAU0aHUXVPD5JZxnR,GBAYE8600094
Dirty Cash (Money Talks) - Sold Out 7 Inch Mix,The Adventures Of Stevie V,1989,3lcUQs5nyrjoHpQR9Vo2aA,GBDGN0900048
"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2","James Brown, The Original J.B.s",1995,6hpmTwgNCz81H2bFEREx29,USF067025050
