title,artist,estimated_year,spotify_track_id,isrc
Just Pretend,Bad Omens,2022,1H4Y9uW4N0LsxJUz0VnaPJ,USYFZ2264208
All Right Now,Free,1970,1gcESexgftSuLuML57Y69q,GBAAN7000001
Baba O'Riley,The Who,1971,3qiyyUfYe7CRYLucrPmulD,GBAKW7100001
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,2010,5BB0Jzw60KyfSTyjJqtely,USRE11000909
Rock You Like A Hurricane,Scorpions,1999,26YRbGDk6FmMouQpW8uTE9,DEC371300042
Cold as Ice,Foreigner,1977,7vidktgNZFQylTgH1GEnMs,USAT29900657
Money - 2023 Remaster,Pink Floyd,1973,1WBxSsaYTfTkx2SiqiSyHS,GBN9Y2200020
White Wedding,Billy Idol,1985,0bvpSvOYt4KTfZIZJmyFOs,USNPD1227957
Renegade,Styx,1995,2AteFs3KWb0OiKxQRnbH9T,USAM17800365
The Pretender,Foo Fighters,2007,7x8dCjCr0x6x2lXKujYD34,USRW30700007
Be Bop a Lula,"Gene Vincent, Gene Vincent & His Blue Caps",2007,1QUQkPdroMjVD4FeEQ1c3U,FR8V60700068
Roxanne,The Police,1978,3EYOJ48Et32uATr9ZmLnAo,GBAAM0201086
Hold the Line,TOTO,1978,4aVuWgvD0X63hcOCnZtNFA,USSM17800444
The Boys Are Back In Town,Thin Lizzy,1976,43DeSV93pJPT4lCZaWZ6b1,GBF087600063
LosT,Bring Me The Horizon,2023,5BgnL6gHauuvxe4Ok6W1aC,GBARL2202050
CMFT Must Be Stopped (feat. Tech N9ne and Kid Bookie),"Corey Taylor, Tech N9ne, Kid Bookie",2020,3FD20yHJtt1QTrWs2rpw9C,NLA322000271
(Don't Fear) The Reaper,Blue Öyster Cult,1976,5QTxFnGygVM4jFQiBovmRo,USSM17600477
The Vengeful One,Disturbed,2015,3jjU4Pky1ja5J1onU6ei4T,USRE11500172
