title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",2011,2008,musicbrainz,3,5QIG1kl6klZIy0Lu67XNYJ,Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",playlist_import,,DEN061101459,true,2008
Mysterious Girl - Radio Edit,Peter Andre,1997,1995,musicbrainz,2,3CiM7fBGbaP6jiyuH2Ot4j,Mysterious Girl - Radio Edit,Peter Andre,playlist_import,,GBAHS0400990,true,1995
California Gurls,"Katy Perry, Snoop Dogg",2012,2010,musicbrainz,2,6tS3XVuOyu10897O3ae7bi,California Gurls,"Katy Perry, Snoop Dogg",playlist_import,,USCA21001135,true,2010
I Feel Love,Donna Summer,1979,1977,musicbrainz,2,3x0wa95iAU1ZMmf3yAQkjZ,I Feel Love,Donna Summer,playlist_import,,USWWW0125612,true,1977
Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",1987,1989,musicbrainz,2,50jCUPNEHtmLfK6PQzcnOH,Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",playlist_import,,ITZ049900408,true,1989
Lush Life,Zara Larsson,2017,2015,musicbrainz,2,1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,playlist_import,,SEWEE1500509,true,2015
It Feels So Good,Sonique,2000,1998,musicbrainz,2,4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,Sonique,playlist_import,,USUR10300602,true,1998
I Know You Want Me (Calle Ocho),Pitbull,2009,2007,musicbrainz,2,5RzFJd6W40SDTyZkX6xx45,I Know You Want Me (Calle Ocho),Pitbull,playlist_import,,USJAY0900144,true,2007
Despacito,"Luis Fonsi, Daddy Yankee",2019,2017,musicbrainz,2,6habFhsOp2NvshLv26DqMb,Despacito,"Luis Fonsi, Daddy Yankee",playlist_import,,USUM71607007,true,2017
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,1995,1997,musicbrainz,2,1lfjTOtTRUDkzcmahA4lcs,"I'll Be There for You (Theme from ""Friends')",The Rembrandts,playlist_import,,USEE10900777,true,1997
"Zeit, dass sich was dreht - Deutsche Version","Herbert Grönemeyer, Amadou, Mariam",2008,2006,musicbrainz,2,2ln6685JphEqCJYclkusqW,"Zeit, dass sich was dreht - Deutsche Version","Herbert Grönemeyer, Amadou, Mariam",playlist_import,,DEC610800606,true,2006
Israelites,Desmond Dekker,1968,1966,musicbrainz,2,0di7hMT6o1ogeUN1XDB9Ft,Israelites,Desmond Dekker,playlist_import,,GBAJE6800413,true,1966
Sun of Jamaica,Goombay Dance Band,1980,1979,musicbrainz,1,5apwlmvQphkCJbHnMGUP2t,Sun of Jamaica,Goombay Dance Band,playlist_import,,DEK897900010,true,1979
"Boom, Boom, Boom, Boom!!",Vengaboys,1999,1998,musicbrainz,1,5N6M8yDiMV32T6Rkzh8EbW,"Boom, Boom, Boom, Boom!!",Vengaboys,playlist_import,,NLC529811150,true,1998
