title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Mój przyjacielu (Version 2011),Krzysztof Krawczyk,2019,5lRTelgIvTNjpKu0kKPtaq,PLG941201356,Concert Hits,compilation,2019-01-01,179146,Krzysztof Krawczyk,11,1
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",2019,20ZP3Om9DvDazXrNUC7WM2,GBAHS1701239,Toast to Our Differences (Deluxe Edition),album,2019-01-25,211760,Rudimental,6,1
Tego chcialam,Ania Dąbrowska,2004,070LzGDXT2ImxuHA5GP2eE,PLA330400002,Samotnosc po zmierzchu,album,2004-08-04,177973,Ania Dąbrowska,2,1
I Will Survive - Single Version,Gloria Gaynor,2000,7cv28LXcjAC3GsXbUvXKbX,USPR37800083,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,compilation,2000-01-01,198066,Gloria Gaynor,11,1
Gangnam Style (강남스타일),PSY,2012,03UrZgTINDqvnUMbbIMhql,USUM71210283,Gangnam Style (강남스타일),single,2012-01-01,219493,PSY,1,1
Jedwab,Róże Europy,2015,5RDEUTUghR62DSvrjWvLNn,PLA889200008,Poganie! Kochaj i Obrażaj,album,2015-01-01,369200,Róże Europy,5,1
Nie mogę cię zapomnieć - Radio Edit,Agnieszka Chylińska,2009,6A6537BwTdiRefKxjYyYAD,PLA550900249,Nie Moge Cie Zapomniec,single,2009-10-02,202585,Agnieszka Chylińska,1,1
"Boom, Boom, Boom, Boom!!",Vengaboys,1999,5N6M8yDiMV32T6Rkzh8EbW,NLC529811150,The Party Album!,album,1999-06-04,202583,Vengaboys,2,1
Time of the Season - Mono Version,The Zombies,1968,5AJrhrwz4oSZX2PwwV4qrN,GBCBS6732269,Odessey and Oracle,album,1968-04-19,214026,The Zombies,12,1
Ostatni raz zatańczysz ze mną,Krzysztof Krawczyk,2019,0uXJGunPiioTNP9lctgr5N,PLG941201357,Concert Hits,compilation,2019-01-01,230333,Krzysztof Krawczyk,12,1
Milkshake,Kelis,2003,2cMTIlktg3M9mXYqCPqw1J,USAR10301131,Tasty,album,2003-12-05,182626,Kelis,3,1
