title,artist,estimated_year,spotify_track_id,isrc
So schmeckt der Sommer,Edward Reekers,2019,0ftIaUx27vc9K0ztdiZgHf,DEF069516410
Lederhosenrock,Melissa Naschenweng,2020,2EHqCAYuSMZrTrNECNLOog,ATB152000603
Der Nippel - Live,Mike Krüger,1980,3XqgqDim4XESbdDOBUPqSo,DEEG22198232
Du kannst nicht immer siebzehn sein,Chris Roberts,2001,4FD6YvxLRRVStHP7VS9mvK,DEC717400006
Es Schiesst Ein Blitz In Meinen Kopf,Michael Morgan,2010,137OpkvgQaDcpuz1Lae5Jv,DEA349600151
Das geht ab - Wir feiern die ganze Nacht,Die Atzen,2019,0TvcLuXOCVXQZwspgXPOZb,DEN060801027
Hör meinen Herzschlag,Norman Langen,2011,3KiZGBcD1mUpU3b4HrrL6r,DEUM71101979
Bist du dafür bereit?,Marie Reim,2022,1U9F9mUWAVkVvN8kFu3j1a,DEA812200210
Ein Leben lang,Kastelruther Spatzen,2000,5o6CnxKo7JQSTJguOSexsm,ATK230000048
Herzilein,Die Wildecker Herzbuben,1990,7GrhTbGEjXbXKoiEwYeEWW,DEC738900002
"Junge, komm bald wieder - [Musicalfassung",Freddy Quinn,1987,4agMrs0Xv2x24I6jme8x8d,DEF066207610
Wini-Wini,Die Tahiti Tamoures,2003,2NLOe1cJU8sJvc6ys67WHO,DEF066312920
Ich versprech dir nichts und geb dir alles,Wolkenfrei,2014,1YurdoxtWECzyQ03osV73w,DEA811300840
Zehn Nackte Friseusen 2003,Mickie Krause,2018,0lFo6asV6Ke962qerPuYPp,DEC610800451
Ein Augenblick in Rot,Münchener Freiheit,2009,75YlMCq6AkEX55qQAvBwYQ,DEUM70900039
Mama Laudaaa,"Almklausi, Specktakel",2018,1RcWWgnw5fVm3wcNq11zBu,DEEQ81800005
Schön ist es auf der Welt zu sein,Roy Black,1988,0xyd446fcUjbUScrubDFWg,DEN120110229
Sternenhimmel,Hubert Kah,1982,79hX0z70ufkP63Ocr4Jz4K,DEF068205320
Wer hat dir das Küssen beigebracht,Gaby Baginsky,1999,4uqr9DDzQxGNxs2RzhE21I,DEA769300101
Schwarz und Weiss - Radio Edit,Oliver Pocher,2008,4pqwROGdu8LCtspHXzlF0D,DEUM70601427
"Wenn nicht jetzt, wann dann? - Weltmeister Version",Höhner,2007,7gaWPR6yofnDxfgRMNyKCH,DEC610700500
E Vogel ohni Flügel,Peter Reber,1985,5xUncmIYqgFadMb52tGRa0,CH6160700018
Ein Himmelbett im Internet,Ibo,1999,5nY9iOFNTNr5vtFKrgxgOo,DEA769803506
Hal-Le-Lu-Ja,"Klostertaler, Kastelruther Spatzen, Nockis",1999,6wxzz8s7JTEihnNGCNYjR8,DEN120500845
Eine Frau die mich nach Hause trägt,PS Alex,2007,076TvwvwODg9xYZyIhwcWq,DEZ520725009
Er hat ein knallrotes Gummiboot,Wencke Myhre,1999,1ewNSEjaSpjLQTgfk1JaZG,DEF067007130
Ich hab Alain Delon geseh'n,Christoff,2012,6szt9Xu72ArW2Tm06YYBa9,DEA341200289
Deine braunen Augen,Alisha,2021,6bBaeJTENy0a1oqYy8fLxw,DEZ922100490
Bianca,Freddy Breck,2010,7IO1odRUNwFrYGbWXic984,DEHZ20900533
"Sieben Tage, Sieben Nächte",Monique,2020,3fKTXIm1WM6WPC3xh5Dq1y,CH5432000924
Dich hat der Himmel geschickt,Bernd Clüver,1993,3xlh9SdTDdMH7Nu24mjyBE,DEA439200040
7 Tage hat die Woche (Album-Version),Manuela Fellner,2012,2qBFgxIxCJXNmyibBSsQGP,ATMF41201901
Na und?!,Ben Zucker,2018,2g8pMDC1lck27f85wSnO13,DEUM71702784
Irgendwann ist jetzt,Max Giesinger,2021,08uFXeEZX4eN28TT37jdfI,DELV42100005
Immer wieder sonntags,Cindy & Bert,2014,7vLC1dwhUssdCnigdtisYG,DEU241104734
