title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Without You,Mariah Carey,1993,1kMOJBmpfWD9fir6st9uqS,USSM19303176,Music Box,album,1993-08-31,213666,Mariah Carey,7,1
Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",1987,50jCUPNEHtmLfK6PQzcnOH,ITZ049900408,Un'Estate Italiana (Notti Magiche),single,1987-01-01,268666,"Gianna Nannini, Edoardo Bennato",1,1
Evacuate the Dancefloor,Cascada,2012,4Zfq7r0v4FKeoxwhyLYSyb,DEHK90911301,Back On the Dancefloor,compilation,2012-04-27,205884,Cascada,2,1
Closer,Ne-Yo,2008,0GX5oOKtU0nnx5OkhenW2i,USUM70809378,Year Of The Gentleman,album,2008-01-01,234360,Ne-Yo,1,1
Boom Boom Boom - Don't Break My Balls Mix,The Outhere Brothers,1994,1m3YR95r3ZuLtu66T8l4Ab,CAU119402044,1 Polish 2 Biscuits & a Fish Sandwich,album,1994-01-01,253200,The Outhere Brothers,1,1
"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",Ricky Martin,2015,7aUCLXZ4D4UD5sCgIgxqjl,NLB639810008,The Greatest Hits,compilation,2015-10-19,271693,Ricky Martin,6,1
Let's Get Back To Bed - Boy!,"Sarah Connor, TQ",2001,0EbWhshcHu8Y0NkdgABv3d,DEE860100326,Green Eyed Soul,album,2001-01-01,238133,Sarah Connor,1,1
Black Velvet,Alannah Myles,1989,1KU5EHSz04JhGg3rReGJ0N,USAT20103053,Alannah Myles,album,1989,287440,Alannah Myles,3,1
Waterfall,"Michael Schulte, R3HAB",2023,7aJgh6LCvhXJfD7PHjhG70,DEUM72119688,Waterfall,single,2023-03-24,137999,"Michael Schulte, R3HAB",1,1
Bailando,Loona,2020,0oxOXYVVZ7vDknU6kagLwO,NLJ2Y2000008,Stars,album,2020-10-11,213544,Loona,7,1
The Power,SNAP!,1990,0nQLxiNGbbUoSGrxksETLm,DET189000100,World Power,album,1990-01-01,228993,SNAP!,1,1
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",2004,2NBQmPrOEEjA8VbeWOQGxO,USMC10400640,R&G (Rhythm & Gangsta): The Masterpiece,album,2004-01-01,266066,Snoop Dogg,3,1
Love Generation - Radio Edit,"Bob Sinclar, Gary Pine",2005,3s3DWOPtKQSgJVDRKu85Tt,FRQ380500331,La Saga Des Hits,compilation,2005-01-01,207613,Various Artists,1,1
Get Busy,Sean Paul,2022,6bK9BH9Ts8Gj5JFvnQkzak,USAT20202575,Dutty Rock (20th Anniversary),album,2022-11-11,211666,Sean Paul,5,1
Barbara Ann,The Beach Boys,1975,2KOt2JrCB720UxIbyzweQo,USCA28600057,Spirit Of America,compilation,1975-04-14,133893,The Beach Boys,18,1
